Name,Type_Code,Type_Name,X,Y
CN-T1-P1 (HOBO),"1",Bird & Vegetation,-61.6072800000,12.1590210000
CN-T1-P3,"1",Bird & Vegetation,-61.6082268000,12.1590709000
CN-T1-P2,"2",Vegetation,-61.6077386000,12.1590604000
CN-T2-P1,"1",Bird & Vegetation,-61.6084038000,12.1574560000
CN-T2-P3,"1",Bird & Vegetation,-61.6104632000,12.1575597800
CN-T2-P2,"2",Vegetation,-61.6093962000,12.1575452000
LV-T1-P1 (HOBO),"1",Bird & Vegetation,-61.6114570000,12.2185540000
LV-T2-P1,"1",Bird & Vegetation,-61.6128800000,12.2175800000
LV-T3-P1,"1",Bird & Vegetation,-61.6139220000,12.2182810000
LV-T4-P1,"1",Bird & Vegetation,-61.6134605000,12.2196592000
LV-T5-P1,"1",Bird & Vegetation,-61.6132406000,12.2209490000
LV-T6-P1,"1",Bird & Vegetation,-61.6122160000,12.2201049000
LV-T7-P1,"1",Bird & Vegetation,-61.6105476000,12.2201363000
LV-T1-P3,"1",Bird & Vegetation,-61.6110495000,12.2180004000
LV-T1-P2,"2",Vegetation,-61.6112075000,12.2182646000
LV-T2-P3,"1",Bird & Vegetation,-61.6126666000,12.2167984700
LV-T2-P2,"2",Vegetation,-61.6127632000,12.2171951000
LV-T3-P3,"1",Bird & Vegetation,-61.6142306000,12.2180533200
LV-T3-P2,"2",Vegetation,-61.6140669000,12.2181607700
LV-T4-P3,"1",Bird & Vegetation,-61.6142111000,12.2195309200
LV-T4-P2,"2",Vegetation,-61.6139439000,12.2196087000
LV-T5-P3,"1",Bird & Vegetation,-61.6139293000,12.2210671500
LV-T5-P2,"2",Vegetation,-61.6136435000,12.2210242000
LV-T6-P3,"1",Bird & Vegetation,-61.6106930000,12.2258477000
LV-T6-P2,"2",Vegetation,-61.6113261000,12.2232996000
LV-T7-P3,"1",Bird & Vegetation,-61.6093412000,12.2253758000
LV-T7-P2,"2",Vegetation,-61.6100600000,12.2227335000
MH-T1-P1,"1",Bird & Vegetation,-61.7522674000,12.0059542000
MH-T2-P1,"1",Bird & Vegetation,-61.7506902000,12.0057495000
MH-T2-P2,"2",Vegetation,-61.7505923000,12.0070284000
MH-T2-P3,"1",Bird & Vegetation,-61.7505869000,12.0083717000
MH-T1-P2,"2",Vegetation,-61.7520020000,12.0075258000
MH-T1-P3,"1",Bird & Vegetation,-61.7515728000,12.0090474000
WH-T1-P1,"1",Bird & Vegetation,-61.7065810000,12.0168490000
WH-T1-P2,"2",Vegetation,-61.7065170000,12.0172170000
WH-T1-P3,"1",Bird & Vegetation,-61.7064690000,12.0174710000
WH-T2-P1,"1",Bird & Vegetation,-61.7048940000,12.0161090000
WH-T2-P2,"2",Vegetation,-61.7048810000,12.0167800000
WH-T2-P3,"1",Bird & Vegetation,-61.7049610000,12.0174730000
WH-T3-P1 (HOBO),"1",Bird & Vegetation,-61.7031370000,12.0155840000
WH-T3-P2,"2",Vegetation,-61.7030330000,12.0159130000
WH-T3-P3,"1",Bird & Vegetation,-61.7030450000,12.0162160000
WH-T4-P1,"1",Bird & Vegetation,-61.7013470000,12.0160770000
WH-T4-P2,"2",Vegetation,-61.7015700000,12.0164040000
WH-T4-P3,"1",Bird & Vegetation,-61.7016770000,12.0167520000
